Date,Product,Region,Sales
2025-01-01,Laptop,North,1200
2025-01-02,Mouse,South,150
2025-01-03,Keyboard,East,300
2025-01-03,Keyboard,East,300
2025/01/04,Monitor,West,800
2025-01-05,Laptop,North,
2025-01-06,Mouse,South,170
,Keyboard,East,320
2025-01-08,Monitor,West,850
2025-01-09,Laptop, North ,1250
2025-01-10,Mouse,south,180
2025-01-11,Keyboard,EAST,340
2025-01-12,Monitor,West,900
2025-01-13,Laptop,North,1300
2025-01-14,Mouse,South,190
2025-01-15,Keyboard,East,350
2025-01-16,Monitor,West,920
2025-01-17,Laptop,North,1350
2025-01-18,Mouse,,200
2025-01-19,Keyboard,East,360
