Date,Sales
2025-01-01,120
2025-01-02,125
2025-01-03,118
2025-01-04,140
2025-01-05,145
2025-01-06,130
2025-01-07,128
2025-01-08,135
2025-01-09,138
2025-01-10,142
2025-01-11,150
2025-01-12,155
2025-01-13,148
2025-01-14,145
2025-01-15,152
2025-01-16,158
2025-01-17,160
2025-01-18,170
2025-01-19,175
2025-01-20,168
2025-01-21,165
2025-01-22,172
2025-01-23,178
2025-01-24,180
2025-01-25,190
2025-01-26,195
2025-01-27,188
2025-01-28,185
2025-01-29,192
2025-01-30,198
2025-01-31,200
2025-02-01,210
2025-02-02,215
2025-02-03,208
2025-02-04,205
2025-02-05,212
2025-02-06,218
2025-02-07,220
2025-02-08,230
2025-02-09,235
2025-02-10,228
2025-02-11,225
2025-02-12,232
2025-02-13,238
2025-02-14,240
2025-02-15,250
2025-02-16,255
2025-02-17,248
2025-02-18,245
2025-02-19,252
2025-02-20,258
2025-02-21,260
2025-02-22,270
2025-02-23,275
2025-02-24,268
2025-02-25,265
2025-02-26,272
2025-02-27,278
2025-02-28,280
2025-03-01,290
2025-03-02,295
2025-03-03,288
2025-03-04,285
2025-03-05,292
2025-03-06,298
2025-03-07,300
2025-03-08,310
2025-03-09,315
2025-03-10,308
2025-03-11,305
2025-03-12,312
2025-03-13,318
2025-03-14,320
2025-03-15,330
2025-03-16,335
2025-03-17,328
2025-03-18,325
2025-03-19,332
2025-03-20,338
